trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.564, 'e': 0.6976763260710311}",20,0,-141.9841083791891,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.5619999999999999, 'e': 0.6838614092123558}",20,4,-10.992722562515851,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5599999999999999, 'e': 0.6703200460356393}",25,0,-71.7964401705147,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.5579999999999999, 'e': 0.6570468198150567}",25,1,-92.41543234210448,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 2}",1
22,False,"{'a': 0.5559999999999999, 'e': 0.6440364210831414}",20,0,-64.39653917867605,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
23,False,"{'a': 0.5539999999999999, 'e': 0.631283645506926}",20,0,-64.48758713568493,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.5519999999999999, 'e': 0.6187833918061408}",30,0,-86.74731018779234,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.5499999999999999, 'e': 0.6065306597126334}",20,3,-3.2391415994865835,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5479999999999999, 'e': 0.5945205479701944}",30,0,-174.2667044642529,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
27,False,"{'a': 0.5459999999999999, 'e': 0.5827482523739896}",25,0,-77.38479347077134,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.5439999999999999, 'e': 0.5712090638488149}",25,13,14.292090817254575,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5419999999999999, 'e': 0.559898366565402}",20,0,-76.02384608730435,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
30,False,"{'a': 0.5399999999999999, 'e': 0.5488116360940265}",20,9,-46.33557781891111,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.5379999999999999, 'e': 0.5379444375946745}",30,0,-171.9188970833169,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
32,False,"{'a': 0.5359999999999999, 'e': 0.5272924240430485}",20,14,12.596337700407211,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5339999999999999, 'e': 0.5168513344916993}",25,0,-115.28946456392275,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
34,False,"{'a': 0.5319999999999999, 'e': 0.5066169923655897}",25,0,-134.40966769325547,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
35,False,"{'a': 0.5299999999999999, 'e': 0.4965853037914095}",30,4,-13.492056657292732,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 0}",1
36,False,"{'a': 0.5279999999999999, 'e': 0.4867522559599717}",25,14,-1.7253185792839565,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5259999999999999, 'e': 0.47711391552103444}",25,0,-39.588084487494854,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.5239999999999999, 'e': 0.46766642700990924}",20,0,5.659630718254011,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5219999999999999, 'e': 0.45840601130522357}",25,2,-65.13538267002508,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 2}",1
40,False,"{'a': 0.5199999999999999, 'e': 0.44932896411722156}",20,0,-68.32059711689588,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
41,False,"{'a': 0.5179999999999999, 'e': 0.44043165450599925}",20,0,-64.02890107176974,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.5159999999999999, 'e': 0.43171052342907973}",20,0,-37.176777310980604,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.5139999999999999, 'e': 0.4231620823177488}",25,0,-5.792077114887708,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.5119999999999999, 'e': 0.4147829116815814}",25,7,-54.89339946434317,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
