trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.6, 'e': 0.11532512103806253}",20,0,9.098101732924391,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
109,False,"{'a': 0.6, 'e': 0.11304153064044986}",25,4,37.69356267521775,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.6, 'e': 0.11080315836233387}",20,11,6.125938502507545,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.6, 'e': 0.10860910882495797}",25,12,24.734467484337532,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.6, 'e': 0.10645850437925282}",20,16,6.651942522758391,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.6, 'e': 0.10435048475476501}",20,3,31.433725663536382,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.10228420671553745}",25,0,-53.948579656793825,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
115,False,"{'a': 0.6, 'e': 0.10025884372280372}",25,8,-32.92891907842393,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
116,False,"{'a': 0.6, 'e': 0.09827358560436156}",30,15,3.92457025512863,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.09632763823049305}",25,14,22.11289037409415,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.6, 'e': 0.09442022319630236}",20,5,24.488601389457617,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.6, 'e': 0.09255057751034329}",25,5,20.985285688327846,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.6, 'e': 0.09071795328941253}",20,6,24.855048141410606,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.6, 'e': 0.08892161745938636}",20,10,14.425697693992472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.6, 'e': 0.08716085146198131}",25,17,14.210863024133186,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
